lab_day,group_members,plot_or_transect,plot_transect_number,label,litter_depth(cm),notes
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,3m,8,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,6m,12,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,9m,20,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,3m,8,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,6m,5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,9m,4,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,3m,12,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,6m,11.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,9m,12.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,1,13.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,2,9,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,3,13,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,4,13,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,5,4,Next to a tree
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,6,6,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,7,3,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,8,4,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,9,9,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,10,6,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,1,15,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,2,15,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,3,5,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,4,1,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,5,10,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,6,23,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,7,5,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,8,13,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,9,19,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,10,5,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,1,3m,14,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,1,6m,20,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,1,9m,10,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,2,3m,7,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,2,6m,15,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,2,9m,8,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,3,3m,8,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,3,6m,10,
Tuesday,"Amelia, Tegan, Farrah, Celia",transect,3,9m,20,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,1,7.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,2,9,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,3,5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,4,6.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,5,7.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,6,4.7,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,7,6.1,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,8,4.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,9,2.3,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Plot,Random,10,4,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,1,3m,3.6,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,1,6m,8,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,1,9m,2.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,2,3m,3,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,2,6m,4.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,2,9m,3.5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,3,3m,5,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,3,6m,3.1,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",Transect,3,9m,5,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,1,0.1,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,2,0.1,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,3,8,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,4,10,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,5,11,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,6,10,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,7,0.1,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,8,12,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,9,11,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,Random,10,10,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,1,3m,8.5,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,1,6m,0.1,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,1,9m,9,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,2,3m,0.1,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,2,6m,10,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,2,9m,10,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,3,3m,9,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,3,6m,8,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect ,3,9m,7,
Wednesday ,"Aidan, Benji, Eric",Transect,1,3m,3.175,
Wednesday ,"Aidan, Benji, Eric",Transect,1,6m,1.905,
Wednesday ,"Aidan, Benji, Eric",Transect,1,9m,1.27,
Wednesday ,"Aidan, Benji, Eric",Transect,2,3m,4.064,
Wednesday ,"Aidan, Benji, Eric",Transect,2,6m,5.588,
Wednesday ,"Aidan, Benji, Eric",Transect,2,9m,1.27,
Wednesday ,"Aidan, Benji, Eric",Transect,3,3m,3.048,
Wednesday ,"Aidan, Benji, Eric",Transect,3,6m,5.08,
Wednesday ,"Aidan, Benji, Eric",Transect,3,9m,5.08,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,1,4.5,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,2,3.81,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,3,4.5,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,4,1.524,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,5,4.318,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,6,0.762,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,7,0.762,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,8,3.302,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,9,3.81,
Wednesday ,"Aidan, Benji, Eric",Plot,Random,10,3.048,
Wednesday,"Surta, Sam, Natalie",Transect,1,3m,2,
Wednesday,"Surta, Sam, Natalie",Transect,1,6m,2,
Wednesday,"Surta, Sam, Natalie",Transect,1,9m,9,
Wednesday,"Surta, Sam, Natalie",Transect,2,3m,4,
Wednesday,"Surta, Sam, Natalie",Transect,2,6m,0,
Wednesday,"Surta, Sam, Natalie",Transect,2,9m,3,
Wednesday,"Surta, Sam, Natalie",Transect,3,3m,3,
Wednesday,"Surta, Sam, Natalie",Transect,3,6m,6,
Wednesday,"Surta, Sam, Natalie",Transect,3,9m,5,
Wednesday,"Surta, Sam, Natalie",Plot,Random,1,4,
Wednesday,"Surta, Sam, Natalie",Plot,Random,2,5,
Wednesday,"Surta, Sam, Natalie",Plot,Random,3,6,
Wednesday,"Surta, Sam, Natalie",Plot,Random,4,1,
Wednesday,"Surta, Sam, Natalie",Plot,Random,5,2.5,
Wednesday,"Surta, Sam, Natalie",Plot,Random,6,3,
Wednesday,"Surta, Sam, Natalie",Plot,Random,7,1,
Wednesday,"Surta, Sam, Natalie",Plot,Random,8,2,
Wednesday,"Surta, Sam, Natalie",Plot,Random,9,2,
Wednesday,"Surta, Sam, Natalie",Plot,Random,10,1,
Wedesday,"Joely, Chris, Hazel",Transect,1,3m,1,
Wedesday,"Joely, Chris, Hazel",Transect,1,6m,6,duff present
Wedesday,"Joely, Chris, Hazel",Transect,1,9m,5,
Wedesday,"Joely, Chris, Hazel",Transect,2,3m,8,duff present
Wedesday,"Joely, Chris, Hazel",Transect,2,6m,6,
Wedesday,"Joely, Chris, Hazel",Transect,2,9m,6,
Wedesday,"Joely, Chris, Hazel",Transect,3,3m,3,
Wedesday,"Joely, Chris, Hazel",Transect,3,6m,17,duff present
Wedesday,"Joely, Chris, Hazel",Transect,3,9m,20,duff present
Wedesday,"Joely, Chris, Hazel",Plot,Random,1,4,
Wedesday,"Joely, Chris, Hazel",Plot,Random,2,5,
Wedesday,"Joely, Chris, Hazel",Plot,Random,3,1,
Wedesday,"Joely, Chris, Hazel",Plot,Random,4,3,
Wedesday,"Joely, Chris, Hazel",Plot,Random,5,4,
Wedesday,"Joely, Chris, Hazel",Plot,Random,6,5,
Wedesday,"Joely, Chris, Hazel",Plot,Random,7,7,
Wedesday,"Joely, Chris, Hazel",Plot,Random,8,4.5,duff present
Wedesday,"Joely, Chris, Hazel",Plot,Random,9,0.5,
Wedesday,"Joely, Chris, Hazel",Plot,Random,10,9,duff present
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,1,4.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,2,3.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,3,7,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,4,3.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,5,6,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,6,3.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,7,5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,8,2.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,9,4,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",plot,Random,10,7,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,1,3m,2.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,2,6m,1.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,3,9m,3,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,1,3m,6,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,2,6m,2,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,3,9m,3.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,1,3m,6.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,2,6m,2.5,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect,3,9m,1,