lab_day,group_members,plot_or_transect,plot_transect_ID,tree_number,circumference(cm),diameter(cm),deciduous_or_conifer,functional_group,notes
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,1,235,74.803,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,2,160,50.93,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",transect,1,3,38,12.096,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,1,25,7.958,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,2,160,50.93,deciduous ,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,3,30,9.549,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,1,225,71.62,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,2,33,10.504,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,3,29,9.231,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,4,195,62.07,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,1,1,25,7.958,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,1,2,28,8.913,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,1,100,31.831,coniferous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,2,206,65.572,coniferous,overstory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,3,101,32.149,coniferous,overstory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,4,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,5,26,8.276,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,6,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,7,26,8.276,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,8,29,9.231,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,9,36,11.459,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,10,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,11,26,8.276,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Transect,1,1,100,31.831,coniferous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Transect,2,2,206,65.572,coniferous,overstory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Transect,3,4,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Transect,3,5,26,8.276,deciduous,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",plot,,9,,0,,,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,0,1,158,50.293,coniferous,overstory,dead
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,0,2,245,77.986,coniferous,overstory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,1,1,25,7.958,deciduous,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,1,2,26,8.276,decidious,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,1,3,159,50.611,coniferous,overstory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,2,1,40,12.732,deciduous,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,2,2,46,14.642,deciduous,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,2,3,47,14.961,deciduous,understory,
Tuesday,"Kazumi, Naomi, Kai, Raven",transect,3,1,19,6.048,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,1,14,4.456,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,2,12,3.82,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,3,16,5.093,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,4,17,5.411,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,5,13,4.138,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,6,11,3.501,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,7,16,5.093,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,8,20,6.366,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,9,17,5.411,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,10,19,6.048,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,11,30,9.549,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,12,13.5,4.297,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,13,18,5.73,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,14,12.5,3.979,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,15,13,4.138,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,16,19.5,6.207,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,17,14.5,4.615,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,18,270,85.944,coniferous,overstory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,19,11.5,3.661,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,20,20.5,6.525,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,21,11,3.501,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,22,11,3.501,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,23,10.5,3.342,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,24,90,28.648,coniferous,overstory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",plot,1,25,240,76.394,coniferous,overstory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,1,1,30,9.549,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,1,2,19,6.048,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,1,3,16,5.093,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,1,4,20,6.366,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,1,5,11,3.501,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,1,240,76.394,coniferous,overstory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,2,270,85.944,coniferous,overstory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,3,10,3.183,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,4,13,4.138,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,5,16.5,5.252,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,6,14,4.456,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,7,15.5,4.934,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,8,10.5,3.342,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,9,13,4.138,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,2,10,10.5,3.342,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,3,1,13,4.138,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,3,2,18.5,5.889,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,3,3,15,4.775,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,3,4,17.5,5.57,deciduous,understory,
Tuesday,"Gus, Maria, Julian, Izzy, Liam",transect,3,5,18,5.73,deciduous,understory,
Wednesday,"Surta, Sam, Natalie",plot,0,1,76,24.192,deciduous,overstory,
Wednesday,"Surta, Sam, Natalie",plot,0,2,30,9.549,deciduous,understory,
Wednesday,"Surta, Sam, Natalie",plot,0,3,81,25.783,coniferous,dead,
Wednesday,"Surta, Sam, Natalie",plot,0,4,34,10.823,deciduous,overstory,
Wednesday,"Surta, Sam, Natalie",plot,0,5,28,8.913,deciduous,overstory,
Wednesday,"Surta, Sam, Natalie",plot,0,6,61,19.417,deciduous,dead,
Wednesday,"Surta, Sam, Natalie",plot,0,7,39,12.414,deciduous,dead,
Wednesday,"Surta, Sam, Natalie",plot,0,8,60,19.099,deciduous,overstory,
Wednesday,"Surta, Sam, Natalie",transect,1,1,76,24.192,deciduous,overstory,
Wednesday,"Surta, Sam, Natalie",transect,1,7,39,12.414,deciduous,dead,
Wednesday,"Surta, Sam, Natalie",transect,2,3,81,25.783,coniferous,dead,
Wednesday,"Surta, Sam, Natalie",transect,2,9,48,15.279,deciduous,understory,
Wednesday,"Surta, Sam, Natalie",transect,3,6,61,19.417,deciduous,dead,
Wednesday,"Aidan, Benji, Eric",plot,1,1,35,11.141,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,2,31,9.868,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,3,214,68.118,coniferous,overstory,
Wednesday,"Aidan, Benji, Eric",plot,1,4,27,8.594,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,5,20,6.366,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,6,18,5.73,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,7,21,6.685,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",plot,1,8,28,8.913,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",transect,1,0,0,0,none,none,
Wednesday,"Aidan, Benji, Eric",transect,2,2,31,9.868,deciduous,understory,
Wednesday,"Aidan, Benji, Eric",transect,2,4,27,8.594,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,2,5,20,6.366,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,2,6,18,5.73,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,2,7,21,6.685,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,2,8,28,8.913,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,3,1,35,11.141,deciduous,understory,
Wednesday,"Aidan, Benji, Eric ",transect,3,3,214,68.118,coniferous,overstory,
Wednesday,"Hazel, Chris, Joely",plot,1,1,22,7.003,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,2,250,79.577,coniferous ,overstory,
Wednesday,"Hazel, Chris, Joely",plot,1,3,28,8.913,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,4,14,4.456,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,5,21,6.685,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,6,11,3.501,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,7,17,5.411,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,8,19,6.048,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,9,15,4.775,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,10,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,11,17,5.411,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,12,15,4.775,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,13,134,42.654,deciduous,overstory,
Wednesday,"Hazel, Chris, Joely",plot,1,14,18,5.73,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,15,18,5.73,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,16,19,6.048,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,17,27,8.594,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,18,12,3.82,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,19,21,6.685,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,20,12,3.82,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,21,21,6.685,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,22,18,5.73,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",plot,1,23,11,3.501,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,1,1,17,5.411,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,1,2,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,1,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,2,22,7.003,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,3,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,4,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,5,25,7.958,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,2,6,20,6.366,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,3,1,15,4.775,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,3,2,30,9.549,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,3,3,22,7.003,deciduous,understory,
Wednesday,"Hazel, Chris, Joely",transect,3,4,22,7.003,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,1,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,2,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,3,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,4,210,66.845,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,5,110,35.014,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,6,100,31.831,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,7,80,25.465,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,8,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,9,34,10.823,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,10,21,6.685,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,11,20,6.366,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",Plot,1,12,19,6.048,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,1,1,21,6.685,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,1,2,20,6.366,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect  ,1,3,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,1,4,80,25.465,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,1,5,19,6.048,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,1,22,7.003,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,2,21,6.685,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,3,30,9.549,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,4,25,7.958,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,5,19,6.048,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,2,6,22,7.003,deciduous,understory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,3,1,97,30.876,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,3,2,210,66.845,coniferous ,overstory,
Wednesday,"Ines, Adam, Aggie, Isa, Hazel",transect ,3,3,20,6.366,deciduous,understory,